Date,Name,core_type,Tree Core Species Code,seq_id,Pith Visible,Sapwood Depth (cm),Heartwood Depth (cm),Tree Core Notes,Length (cm),Mass Empty Tube (g),Mass Tube + Core Segment (g),FRESH MASS (g),Date Placed in Freeze Dryer,Date Removed from Freeze Dryer,Post-Freeze Dry Sample Mass (g),Ground Sample ID,Percent_Change
6/29/2022,Qespi,Inner,BEPA,PB3,No,,,"Presumed location of pith is highly fractured. Pith is not explicitly visible but after consulting the width of the tree, it should be in the broken part. ",5,,,0.8087,7/1/2022,7/5/2022,0.5334,PB3 Outer,0.340422901
6/29/2022,Qespi,Inner,BEPA,PB1,Yes,,,,5,,,1.0673,7/5/2022,7/8/2022,0.5677,PB1 Outer,0.468097067
6/29/2022,Qespi,Inner,BEPA,PB501,Yes,,,,5,,,0.9299,7/5/2022,7/8/2022,0.5758,PB501 Outer,0.380793634
6/29/2022,Qespi,Inner,PRSE,BC2,Yes,,,"No 4-letter code was associated with this sample,",5,,,1.0001,7/5/2022,7/8/2022,0.5726,BC2 Outer,0.427457254
6/29/2022,Qespi,Inner,QUVE,BO1,Yes,,,,5,,,1.1618,7/5/2022,7/8/2022,0.5713,BO1 Outer,0.50826304
6/29/2022,Qespi,Inner,PRSE,BC4,Yes,,,,5,,,0.897,7/5/2022,7/8/2022,0.523,BC4 Outer,0.416945373
6/29/2022,Qespi,Inner,PRSE,BC1,Yes,,,"After cutting at the pith, whole sample was less than 7.5 cm so it will be counted as one sample",5,,,0.8904,7/5/2022,7/8/2022,0.5099,BC1 Outer,0.427336029
6/29/2022,Qespi,Inner,CAOV,SH1,Yes,,,,5,,,1.1059,7/5/2022,7/8/2022,0.7089,SH1 Outer,0.358983633
6/29/2022,Qespi,Inner,QURU,BOWSER,Yes,,,,5,,,1.0774,7/5/2022,7/8/2022,0.5292,BOWSER Outer,0.508817524
6/29/2022,Jon,Inner,KALA,ML2,,,,"Entire core considered single sample. Labeled ""outer"" but core goes all the way through stem.",5.7,,,1.1775,7/5/2022,7/8/2022,0.6628,ML2 Outer,0.437112527
6/29/2022,Jon,Inner,KALA,MLGP,,,,"Entire core considered single sample. Labeled ""outer"" but core goes all the way through stem.",5.04,,,1.1196,7/5/2022,7/8/2022,0.6449,MLGP Outer,0.423990711
6/29/2022,Qespi,Inner,SAAL,SASSAFRASS,Yes,,,,5,,,0.6327,7/1/2022,7/5/2022,0.338,SASSAFRASS Outer,0.465781571
7/1/2022,Jon,Inner,QUAL,WO1,yes,,,,5,,,1.031,7/5/2022,7/8/2022,0.9704,WO1 Outer,0.058777886
6/7/2022,Jon,Outer,FRAM,WA102,Yes,,,,5,5.341,6.316,0.975,6/10/2022,6/13/2022,0.619,WA102 Inner,0.365128205
6/8/2022,Jon,Outer,TSCA,H301,Yes,,,,5,5.309,6.251,0.942,6/10/2022,6/13/2022,0.361,H301 Inner,0.616772824
6/8/2022,Jon,Outer,TSCA,HX4,Yes,,,,4.015,5.346,6.138,0.792,6/10/2022,6/13/2022,0.391,HX4 Inner,0.506313131
6/8/2022,Jon,Outer,TSCA,H2,Yes,,,Uncertain pith location,5,5.338,6.33,0.992,6/10/2022,6/13/2022,0.428,H2 Inner,0.568548387
6/8/2022,Jon,Outer,TSCA,HX3,Yes,,,,5,5.366,6.227,0.861,6/10/2022,6/13/2022,0.362,HX3 Inner,0.579558653
6/8/2022,Jon,Outer,TSCA,H103,No,,,,5,5.341,6.164,0.823,6/10/2022,6/13/2022,0.344,H103 Inner,0.582017011
6/8/2022,Jon,Outer,TSCA,H9,Yes,,,,5,5.392,6.447,1.055,6/10/2022,6/13/2022,0.401,H9 Inner,0.619905213
6/9/2022,Cade,Outer,TSCA, H102,Yes,,,middle piece accidentally combined with another piece. 2 possible pieces that may have been the actual core: middle?x1 and middle?x2. middle?x1: length-35.35mm/empty weight-5.3943g/filled weight-6.0878g. middle?x2:length-41.02mm/empty weight-5.3707/filled weight-6.0782,5,5.377,6.2828,0.9058,6/10/2022,6/13/2022,0.345, H102 Inner,0.619121219
6/9/2022,Cade,Outer,TSCA,H104,Yes ,,,Inner Section 12.54+3.23+4.08,5,5.3281,6.7483,1.4202,6/10/2022,6/13/2022,0.168,H104 Inner,0.881706802
6/9/2022,Cade,Outer,TSCA,HX2,No,,,,5,5.4891,7.3733,1.8842,6/10/2022,6/13/2022,0.305,HX2 Inner,0.838127587
6/9/2022,Qespi,Outer,TSCA,H5,No,,,,5,5.3456,6.246,0.9004,6/10/2022,6/13/2022,0.314,H5 Inner,0.651266104
6/9/2022,Qespi,Outer,TSCA,H101,Yes,,,,5,5.3371,6.1453,0.8082,6/10/2022,6/13/2022,0.423,H101 Inner,0.476614699
6/9/2022,Qespi,Outer,TSCA,H4,Yes,,,,5,5.3484,6.0783,0.7299,6/10/2022,6/13/2022,0.422,H4 Inner,0.421838608
6/9/2022,Qespi,Outer,TSCA,H8,Yes,,,,5,5.4945,6.387,0.8925,6/10/2022,6/13/2022,0.327,H8 Inner,0.633613445
6/9/2022,Qespi,Outer,TSCA,HZ1,Yes,,,,5,5.3515,6.5073,1.1558,6/10/2022,6/13/2022,0.477,HZ1 Inner,0.587298841
