Feature ID	Taxon
seq39	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; none; none; none
seq40	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; none; none; none
seq41	k__Fungi; p__Ascomycota; none; none; none; none; none
seq42	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Melanommataceae; g__Herpotrichia; s__juniperi
seq43	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Pleurotheciales; f__Pleurotheciaceae; g__Anapleurothecium; s__botulisporum
seq44	k__Fungi; none; none; none; none; none; none
seq45	k__Fungi; p__Basidiomycota; none; none; none; none; none
seq46	k__Fungi; p__Ascomycota; c__Sordariomycetes; none; none; none; none
seq47	k__Fungi; p__Ascomycota; none; none; none; none; none
seq48	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Cylindrosympodium; s__variabile
seq49	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Mycena; s__meliigena
seq50	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; none; none; none
seq51	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_ord_Incertae_sedis; f__Sordariomycetes_fam_Incertae_sedis; g__Distoseptispora; none
seq52	k__Fungi; p__Ascomycota; none; none; none; none; none
seq53	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Dermateaceae; g__Pezicula; s__alnicola
seq54	k__Fungi; none; none; none; none; none; none
seq55	k__Fungi; p__Ascomycota; none; none; none; none; none
seq56	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Phaeomoniellales; f__Phaeomoniellaceae; none; none
seq57	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Lachnum; s__virgineum
seq58	k__Fungi; p__Ascomycota; none; none; none; none; none
seq59	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__rubellipes
seq60	k__Fungi; p__Ascomycota; none; none; none; none; none
seq61	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__crustosa
seq62	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; none; none
seq63	k__Fungi; p__Ascomycota; none; none; none; none; none
seq64	k__Fungi; p__Ascomycota; c__Sordariomycetes; none; none; none; none
seq65	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Cantharellaceae; g__Craterellus; s__fallax
seq66	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; none
seq67	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactifluus; none
seq68	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactifluus; s__volemus
seq69	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; none
seq70	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq71	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Elaphomycetaceae; g__Elaphomyces; s__muricatus
seq72	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__humilis
seq73	k__Fungi; p__Mucoromycota; c__Umbelopsidomycetes; o__Umbelopsidales; f__Umbelopsidaceae; g__Umbelopsis; s__dimorpha
seq74	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Dothiora; none
seq75	k__Fungi; p__Ascomycota; none; none; none; none; none
seq76	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; none
seq77	k__Fungi; p__Ascomycota; none; none; none; none; none
seq78	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Sympodiella; none
seq79	k__Fungi; p__Ascomycota; none; none; none; none; none
seq80	k__Fungi; p__Ascomycota; c__Sordariomycetes; none; none; none; none
seq81	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; none; none
seq82	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__daleae
seq83	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; none
seq84	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; none
seq85	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Proliferodiscus; s__earoleucus
seq86	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Amphisphaeriaceae; g__Polyscytalum; s__neofecundissimum
seq87	k__Fungi; none; none; none; none; none; none
seq88	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales; f__Pseudeurotiaceae; none; none
seq89	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Mycena; s__meliigena
seq90	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariales_fam_Incertae_sedis; g__Robillarda; none
seq91	k__Fungi; p__Ascomycota; none; none; none; none; none
seq92	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Planistromellaceae; g__Ramimonilia; s__apicalis
seq93	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae; none; none
seq94	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; none; none; none
seq95	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactifluus; s__volemus
seq96	k__Fungi; p__Ascomycota; none; none; none; none; none
seq97	k__Fungi; none; none; none; none; none; none
seq98	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; none; none
seq99	k__Fungi; none; none; none; none; none; none
seq100	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; none; none; none
seq101	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Mrakiaceae; g__Itersonilia; s__perplexans
seq102	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Tomentella; none
seq103	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; none; none; none
seq104	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__Exidiaceae; g__Basidiodendron; none
seq105	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Lecanorales; f__Catillariaceae; g__Catillaria; s__nigroclavata
seq106	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Phaeomoniellales; f__Phaeomoniellaceae; none; none
seq107	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__Clavaria; s__sphagnicola
seq108	k__Fungi; p__Ascomycota; none; none; none; none; none
seq109	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq110	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq111	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Sporocadaceae; none; none
seq112	k__Fungi; p__Ascomycota; none; none; none; none; none
seq113	k__Fungi; p__Ascomycota; none; none; none; none; none
seq114	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Sphaerulina; none
seq115	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; none
seq116	k__Fungi; p__Ascomycota; none; none; none; none; none
seq117	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trimorphomycetaceae; g__Saitozyma; s__podzolica
seq118	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__pascua
seq119	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; none; none; none
seq120	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__amoenoides
seq121	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; none; none; none
seq122	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Tolypocladium; none
seq123	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron; s__chlamydosporicum
seq124	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; none; none; none
seq125	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq126	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; none
seq127	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Lecanorales; f__Lecanoraceae; g__Lecanora; s__layana
seq128	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Dermateaceae; g__Pezicula; s__alnicola
seq129	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Omphalotaceae; g__Mycetinis; none
seq130	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Tolypocladium; s__album
seq131	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Caliciales; f__Physciaceae; g__Phaeophyscia; s__pyrrhophora
seq132	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__amoenoides
seq133	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; none; none; none
seq134	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Apiotrichum; s__porosum
seq135	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Physalacriaceae; g__Armillaria; s__borealis
seq136	k__Fungi; p__Ascomycota; none; none; none; none; none
seq137	k__Fungi; p__Ascomycota; none; none; none; none; none
seq138	k__Fungi; none; none; none; none; none; none
seq139	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; none; none
seq140	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron; s__chlamydosporicum
seq141	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Neofusicoccum; s__kwambonambiense
seq142	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq143	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq144	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq145	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; s__acutus
seq146	k__Fungi; p__Ascomycota; none; none; none; none; none
seq147	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq148	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; none
seq149	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Phaeomoniellales; f__Phaeomoniellaceae; g__Celerioriella; s__prunicola
seq150	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; none; none; none
seq151	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae; none; none
seq152	k__Fungi; p__Ascomycota; none; none; none; none; none
seq153	k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; none
seq154	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales; f__Chaetosphaeriaceae; g__Chaetosphaeria; none
seq155	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; none; none; none
seq156	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Radulomycetaceae; g__Aphanobasidium; s__pseudotsugae
seq157	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; none; none
seq158	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae; none; none
seq159	k__Fungi; p__Ascomycota; c__Leotiomycetes; none; none; none; none
seq160	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; none
seq161	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Phaeomoniellales; none; none; none
seq162	k__Fungi; p__Ascomycota; none; none; none; none; none
seq163	k__Fungi; p__Ascomycota; none; none; none; none; none
seq164	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq165	k__Fungi; p__Ascomycota; c__Sordariomycetes; none; none; none; none
seq166	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Cuphophyllus; s__subviolaceus
seq167	k__Fungi; none; none; none; none; none; none
seq168	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; none; none; none
seq169	k__Fungi; p__Ascomycota; none; none; none; none; none
seq170	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_ord_Incertae_sedis; f__Sordariomycetes_fam_Incertae_sedis; g__Paragaeumannomyces; none
seq171	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Mycoarthris; s__corallina
seq172	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Sympodiella; none
seq173	k__Fungi; p__Ascomycota; none; none; none; none; none
seq174	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Flagelloscypha; none
seq175	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; none; none; none
seq176	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq177	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Mycena; s__meliigena
seq178	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Lecanorales; f__Lecanoraceae; g__Lecanora; s__layana
seq179	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Chalara; none
seq180	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Pleurotheciales; f__Pleurotheciaceae; none; none
seq181	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; none
seq182	k__Fungi; p__Ascomycota; none; none; none; none; none
seq183	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Leotiaceae; g__Gorgomyces; s__honrubiae
seq184	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Physalacriaceae; g__Armillaria; s__borealis
seq185	k__Fungi; p__Ascomycota; none; none; none; none; none
seq186	k__Fungi; p__Ascomycota; none; none; none; none; none
seq187	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Gomphales; f__Gomphaceae; g__Ramaria; none
seq188	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Tomentella; none
seq189	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__Clavulinopsis; s__luteoalba
seq190	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales; f__Chaetosphaeriaceae; none; none
seq191	k__Fungi; p__Ascomycota; none; none; none; none; none
seq192	k__Fungi; p__Ascomycota; c__Sordariomycetes; none; none; none; none
seq193	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__Clavulinopsis; s__luteoalba
seq194	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; none; none
seq195	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron; s__maius
seq196	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; s__strelitziicola
seq197	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; none
seq198	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Tomentella; none
seq199	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; none; none; none
seq200	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Tubeufiales; f__Tubeufiaceae; g__Helicosporium; none
seq201	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae; none; none
seq202	k__Fungi; p__Ascomycota; none; none; none; none; none
seq203	k__Fungi; p__Ascomycota; c__Leotiomycetes; none; none; none; none
seq204	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Veronaea; none
seq205	k__Fungi; p__Ascomycota; c__Leotiomycetes; none; none; none; none
seq206	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Septoria; none
seq207	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; none
seq208	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__delicatulum
seq209	k__Fungi; p__Ascomycota; none; none; none; none; none
seq210	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; none; none; none
seq211	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; none; none; none
seq212	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Mycena; s__meliigena
seq213	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; none
seq214	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__delicatulum
seq215	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; none
seq216	k__Fungi; none; none; none; none; none; none
seq217	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; none
seq218	k__Fungi; p__Basidiomycota; c__Tremellomycetes; none; none; none; none
seq219	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Dothiora; none
seq220	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Ramularia; none
seq221	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Phacidiales; f__Phacidiaceae; g__Phacidium; none
seq222	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; none
seq223	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Acrodontium; s__hydnicola
seq224	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; none
seq225	k__Fungi; p__Mucoromycota; c__Umbelopsidomycetes; o__Umbelopsidales; f__Umbelopsidaceae; g__Umbelopsis; none
seq226	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; none; none; none
seq227	k__Fungi; p__Ascomycota; c__Sordariomycetes; none; none; none; none
seq228	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Omphalotaceae; g__Mycetinis; none
seq229	k__Fungi; none; none; none; none; none; none
seq230	k__Fungi; p__Ascomycota; c__Leotiomycetes; none; none; none; none
seq231	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Sporocadaceae; g__Discosia; s__pseudoartocreas
seq232	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae; g__Sebacina; none
seq233	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; none; none
seq234	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Diaporthales_fam_Incertae_sedis; g__Tubakia; s__californica
seq235	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Leotiaceae; g__Gorgomyces; none
seq236	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; none
seq237	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Rhinocladiella; none
seq238	k__Fungi; p__Ascomycota; c__Sordariomycetes; none; none; none; none
seq239	k__Fungi; p__Ascomycota; c__Sordariomycetes; none; none; none; none
seq240	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__pyrotricha
seq241	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Cryptocline; none
seq242	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Chalara; s__pseudoaffinis
seq243	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Epicoccum; s__dendrobii
seq244	k__Fungi; p__Ascomycota; none; none; none; none; none
seq245	k__Fungi; p__Ascomycota; none; none; none; none; none
seq246	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Nectriopsis; none
seq247	k__Fungi; p__Ascomycota; none; none; none; none; none
seq248	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Phaeomoniellales; f__Phaeomoniellaceae; none; none
seq249	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Cryptocline; none
seq250	k__Fungi; p__Ascomycota; none; none; none; none; none
seq251	k__Fungi; none; none; none; none; none; none
seq252	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__chaetospira
seq253	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Neofusicoccum; s__parvum
seq254	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron; s__chlamydosporicum
seq255	k__Fungi; p__Ascomycota; none; none; none; none; none
seq256	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; none; none
seq257	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; none; none
seq258	k__Fungi; p__Basidiomycota; c__Agaricomycetes; none; none; none; none
seq259	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron; s__maius
seq260	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Conioscyphales; f__Conioscyphaceae; g__Conioscypha; none
seq261	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; none; none
seq262	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__chaetospira
seq263	k__Fungi; none; none; none; none; none; none
